Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ethiopia,1271,1627,1921,1931,1923,126,143,169,168,178,189,191
Bosnia and Herzegovina,3873,1942,1367,580,202,28,15,10,6,1,1,1
Liberia,269,381,1037,1698,2307,10,10,14,18,18,16,23
Islamic Rep. of Iran,2626,2593,2766,2560,2346,1105,1151,1249,1327,2286,3949,4596
Pakistan,479,389,363,322,316,440,438,589,747,1038,1957,2608
Afghanistan,6943,7240,8037,8082,7908,4990,4933,5664,5518,4826,7192,8368
Various,1145,159,448,442,393,1298,304,237,226,183,178,177
Somalia,1743,1130,941,864,797,142,86,84,74,77,66,67
China,294,281,345,537,793,1153,1467,1862,2201,2494,2678,2820
Indonesia,69,713,1255,1302,1353,201,188,221,231,232,233,233
Iraq,11899,12157,11471,10859,11147,5851,5945,5663,3791,3085,2821,2963
Sierra Leone,680,777,1422,1833,2103,32,30,32,33,35,33,33
Stateless,135,139,102,54,35,112,121,149,347,849,1433,1689
Serbia (and Kosovo: S/RES/1244 (1999)),9827,7250,5366,3826,2432,266,241,191,93,87,80,77
Croatia,4850,3394,2689,1316,521,12,12,4,4,4,3,3
Burundi,24,81,369,759,1478,19,24,30,31,27,28,26
Sudan,6033,10037,16365,18827,21241,59,53,56,57,49,49,56
Myanmar,732,684,651,967,2558,433,455,489,444,514,534,513
Egypt,276,248,735,994,975,235,228,293,350,573,810,1132
Sri Lanka,1236,935,694,571,600,1707,1843,2070,2373,2572,2866,3313
