Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bosnia and Herzegovina,1255,726,581,231,200,171,205,206,211,215,219,210
Russian Federation,0,911,4152,6438,8723,11571,14122,15828,17229,18473,19517,19577
Syrian Arab Rep.,0,61,75,122,167,255,333,385,505,903,1675,2748
Islamic Rep. of Iran,1076,1112,1445,1589,1679,1929,2112,2183,2357,2509,2816,3188
Turkey,0,401,450,466,584,758,1060,1167,1288,1329,1309,1276
Afghanistan,1270,1595,2482,2991,3664,4191,5387,6401,7359,8636,10158,11906
Somalia,0,81,93,146,266,456,630,830,1093,1473,1915,2278
Iraq,1151,1141,1429,1224,1179,1366,1972,2183,2320,2622,2863,2966
Serbia (and Kosovo: S/RES/1244 (1999)),0,4265,4715,5091,5485,5783,6218,3473,3353,3290,3165,3075
Various,0,3885,139,258,263,290,305,310,313,315,322,321
