Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ethiopia,0,2873,3549,3986,4753,1652,1732,1742,1761,1928,2059,2163
Bosnia and Herzegovina,0,4112,1435,794,274,132,119,110,104,93,91,85
Russian Federation,0,1994,2118,2073,1916,2960,2770,2612,2311,1931,1756,1527
Liberia,0,268,639,1151,1436,123,115,103,99,106,120,134
Pakistan,0,7994,9662,10642,10888,15820,15798,15346,14526,13149,11605,10641
Islamic Rep. of Iran,0,6794,6508,5695,4978,6221,5200,4499,3819,3440,3212,3033
Albania,0,1226,1273,1403,1327,2509,2496,2340,2166,1900,1764,1706
India,0,3514,3589,3512,3750,7114,6718,6245,5954,5621,5287,4988
Saint Vincent and the Grenadines,0,105,181,279,386,644,748,847,941,1121,1305,1524
Kenya,0,332,343,474,567,760,820,849,882,942,996,1019
Turkey,0,2000,2632,3468,3474,4753,4691,4611,4465,4255,3838,3464
Afghanistan,0,14616,15242,15535,14419,3470,3147,3015,2727,2659,2609,2700
Bangladesh,0,1235,1174,1352,1575,3214,2768,2445,2213,2076,1917,1764
Rwanda,0,1462,1310,1223,1226,1697,1680,1550,1494,1537,1654,1655
Somalia,0,5080,4894,4491,4507,7206,6209,5150,4149,3629,3459,3225
Peru,0,962,1049,1335,1589,2522,2421,2303,2209,2048,1905,1757
Cuba,0,1005,958,964,969,2014,2041,1988,1821,1739,1708,1674
China,0,5722,8071,9953,11072,14970,15585,16075,16451,17024,16813,15344
Ukraine,0,817,961,1100,1177,1911,1904,1914,1871,1788,1737,1605
Bulgaria,0,711,693,794,835,1552,1414,1238,1119,1011,928,813
United States,0,167,232,567,976,1537,1746,2019,2637,3384,4045,4451
Romania,0,715,711,697,654,1286,1203,1088,952,800,690,577
Hungary,0,657,779,829,722,1183,1221,1158,1081,893,766,765
Guinea,0,561,691,714,747,1173,1169,1152,1094,1018,914,839
Nigeria,0,986,1046,1413,1722,2911,2882,2962,3171,3608,3990,4441
Algeria,0,2030,1430,763,545,2806,2295,1580,877,628,513,443
El Salvador,0,442,468,399,459,758,849,889,912,1023,1122,1223
Haiti,0,413,460,632,783,1295,1410,1662,2906,4963,6798,7872
Iraq,0,5441,5402,4789,3990,1968,1865,1760,1730,1712,1745,1730
Sierra Leone,0,1374,1668,1557,1323,254,258,254,233,221,206,187
Stateless,0,1654,1764,1891,1248,1828,1669,1677,1738,1737,1738,1708
Serbia (and Kosovo: S/RES/1244 (1999)),0,7020,6472,2129,546,1159,1006,763,573,443,400,418
Croatia,0,2000,835,349,160,93,85,86,69,61,57,70
Dem. Rep. of the Congo,0,4706,5069,5124,5212,5997,5687,5284,4725,4381,4211,3874
Mexico,0,1195,1307,1807,2310,4281,4757,5000,5281,5574,5995,6512
Lebanon,0,521,510,591,684,1218,1190,1128,1133,1104,1104,1103
Colombia,0,6689,9441,13511,17378,11843,13080,14300,16054,17243,17563,17381
Burundi,0,1524,1862,2064,2148,1498,1650,1827,1968,2148,2315,2278
Various,0,1005,1125,949,919,349,161,143,118,105,87,70
Sudan,0,5141,6312,6230,6258,1915,1739,1615,1431,1238,1100,905
Nepal,0,83,116,178,319,513,730,809,863,986,1128,1212
Angola,0,517,700,892,836,1085,1080,1067,1030,893,753,650
Zimbabwe,0,654,1979,2433,2674,3076,3455,3740,3986,4223,4341,3969
Eritrea,0,557,852,1197,1619,717,792,918,1136,1350,1547,1676
Sri Lanka,0,12563,12062,11076,9877,21279,20442,19143,16967,15174,13705,12326
Myanmar,0,440,538,613,1429,205,235,257,265,277,276,283
Egypt,0,1291,1109,1208,1004,640,640,607,573,555,597,638
