Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bosnia and Herzegovina,0,25395,22176,4633,2522,1309,1116,1084,1064,231,143,103
Russian Federation,0,304,392,466,485,489,587,651,748,794,829,1023
Syrian Arab Rep.,0,172,177,188,213,218,272,392,750,1197,1812,3271
Islamic Rep. of Iran,0,1691,1665,1755,1617,771,805,864,1030,1245,1411,1842
Afghanistan,0,6369,6437,6381,6306,5378,5214,5026,4467,3108,2391,2139
Various,0,3921,3431,2503,1026,471,40,34,64,403,397,395
Somalia,0,8591,7788,6648,5100,3359,2483,1987,1497,904,528,798
Iraq,0,11831,11500,10667,9902,8376,7102,5467,3962,1910,1159,1034
Serbia (and Kosovo: S/RES/1244 (1999)),0,4672,4876,4771,3075,3030,2936,2466,2288,1757,1192,765
State of Palestine,0,1834,1481,1095,1025,503,492,485,381,314,265,199
