Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Cambodia,0,14303,14097,13736,13514,13370,13195,13122,12956,12818,12666,12560
Bosnia and Herzegovina,0,1623,2642,3372,3613,3780,3834,4041,4083,4108,4118,4174
Russian Federation,0,2613,3991,5292,5945,6613,7615,8942,9858,10882,11767,12795
Syrian Arab Rep.,0,191,205,213,216,217,233,244,280,351,640,1474
Islamic Rep. of Iran,0,1659,1682,1634,1617,1633,1661,1735,1917,2064,2172,2311
Albania,0,835,958,1123,1239,1298,1374,1498,1556,1666,1762,1925
Côte d'Ivoire,0,317,647,1075,1290,1467,1603,1787,1920,2051,2204,2410
Azerbaijan,0,460,684,1068,1210,1439,1745,2094,2239,2445,2567,2709
Turkey,0,8862,9387,9676,10059,10276,10564,10895,11009,10885,10887,10867
Afghanistan,0,1167,1220,1228,1238,1273,1345,1567,1790,2120,2590,3213
Bangladesh,0,837,930,1204,1297,1495,1717,2001,2268,2473,2834,3336
Mauritania,0,2763,3391,3771,3904,4008,4125,4393,4542,4734,4899,5101
Viet Nam,0,9274,9132,8832,8750,8668,8583,8771,8719,8654,8605,8528
Rwanda,0,1410,1589,1774,1908,2049,2184,2360,2496,2598,2723,2840
Somalia,0,543,567,587,612,650,686,835,1027,1303,1489,1674
China,0,372,399,440,493,570,665,858,1002,1207,1569,1904
Armenia,0,571,777,1267,1464,1716,2187,2803,3073,3350,3633,3919
Mali,0,108,113,129,163,378,1049,2034,2614,3082,3428,3719
Chad,0,518,607,723,774,827,892,980,1026,1090,1150,1172
Guinea,0,408,575,878,1136,1642,2089,2649,3125,3645,4111,4668
Algeria,0,726,865,1044,1166,1240,1268,1241,1189,1225,1264,1333
Haiti,0,1661,1891,2237,2710,3004,3152,3312,3466,3619,3710,3741
Iraq,0,1409,1408,1319,1318,1397,1656,2147,2366,2519,2620,2677
Georgia,0,648,998,1516,1668,1786,1889,2105,2153,2249,2391,2571
Serbia (and Kosovo: S/RES/1244 (1999)),0,5642,6292,6988,7334,7848,8395,9437,9985,10891,11506,11738
Angola,0,1836,2146,2470,2594,2722,2814,3009,3097,3162,3258,3349
Dem. Rep. of the Congo,0,6757,7665,8537,8924,9329,9952,10841,11369,11931,12585,13513
Various,0,30083,30090,19172,22610,21936,21985,45194,42230,42659,42289,47676
Sudan,0,336,459,630,799,994,1151,1368,1597,1906,2180,2430
Lao People's Dem. Rep.,0,7948,7864,7668,7599,7550,7496,7473,7445,7382,7335,7261
Eritrea,0,22,31,63,104,162,222,369,663,1093,1316,1508
Sri Lanka,0,15062,15304,15602,15669,16605,18102,20464,21833,22719,23225,23762
Congo,0,1572,1979,2454,2570,2694,2830,3030,3124,3227,3318,3371
