Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,14616,15242,15535,14419,3470,3147,3015,2727,2659,2609,2700
Turkmenistan,0,1224,1030,749,710,85,46,29,30,31,19,19
Russian Federation,0,1541,1488,1294,1202,1315,2365,2079,1953,1687,1300,1117
Germany,0,46975,38576,31055,21879,24236,25108,30320,30404,30425,31746,24203
Netherlands,0,26433,25907,25086,21357,17296,13477,9383,6731,5697,6126,6269
Syrian Arab Rep.,0,425,360,229,299,226,517,963,1611,1791,1737,1141
Islamic Rep. of Iran,0,834699,952802,920248,914260,906071,935595,1022494,1027577,840451,824087,814015
New Zealand,0,618,1142,1261,961,162,167,169,172,44,29,32
Pakistan,0,1123647,960041,1084208,1043984,886666,764935,758616,1899842,1701945,1637740,1615876
India,0,10283,9761,9700,9472,9011,8441,8528,9094,9161,9633,10328
Tajikistan,0,3304,1816,1006,917,1126,1790,2673,3126,3270,2196,2004
Turkey,0,83,64,76,75,212,347,1040,1491,2682,3517,3926
Hungary,0,1705,2497,2376,2357,2293,2110,1907,1767,1697,1131,749
France,0,1167,1220,1228,1238,1273,1345,1567,1790,2120,2590,3213
Norway,0,3309,3693,4052,4084,2925,3418,4415,5396,5733,5984,5523
Ukraine,0,1510,1290,1213,1189,1171,1156,1239,1339,1457,1480,1494
Finland,0,1101,1342,1604,1883,517,578,656,807,948,1137,1357
Indonesia,0,79,45,13,65,49,29,220,259,476,890,1128
United States,0,9601,9778,8831,13242,2365,2102,1711,1364,1103,1017,1071
Sweden,0,3425,3903,4264,4278,2611,2946,3637,4150,6620,8454,10499
Australia,6943,7240,8037,8082,7908,4990,4933,5664,5518,4826,7192,8368
Bulgaria,0,1829,1908,1930,1967,1990,2012,2039,2048,2067,368,268
Austria,1270,1595,2482,2991,3664,4191,5387,6401,7359,8636,10158,11906
Belgium,0,541,536,381,226,151,196,271,501,785,1267,4328
Denmark,0,6369,6437,6381,6306,5378,5214,5026,4467,3108,2391,2139
Switzerland,0,1598,1524,1595,1726,1609,1610,1683,1929,2127,2099,2578
Uzbekistan,0,5470,5238,4740,1415,1047,809,546,304,211,173,138
Italy,0,186,242,302,473,1138,2315,3039,3665,4291,5058,6657
United Kingdom,0,21718,22494,22532,23069,23565,23079,23658,23406,14424,9842,9166
