Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Brazil,0,1952,2005,1751,1674,1669,1666,1683,1686,1686,1689,1062
Canada,0,517,700,892,836,1085,1080,1067,1030,893,753,650
France,0,1836,2146,2470,2594,2722,2814,3009,3097,3162,3258,3349
Switzerland,0,2102,2129,2221,2160,1967,1843,1644,1440,1268,1176,1055
Zambia,0,158894,88842,75468,42675,40757,27131,25329,25265,23500,0,0
Germany,0,3288,3272,3753,2006,2408,2463,3433,3321,3118,3041,850
Netherlands,0,3570,3296,3121,2969,2791,2663,2492,1930,1641,722,485
Namibia,0,17814,12618,4666,4738,5705,5916,5924,5904,4322,0,0
Dem. Rep. of the Congo,0,123714,98383,106772,132295,112680,111589,84374,79617,78144,0,558
South Africa,0,5773,5774,5764,5759,5752,5751,5758,5808,5808,5805,0
United Kingdom,0,3247,3349,3445,3452,3418,3378,3073,2590,2021,1156,601
Congo,0,3881,3632,2975,2666,2665,2652,813,828,918,322,326
