Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,1524,1862,2064,2148,1498,1650,1827,1968,2148,2315,2278
Rwanda,0,1841,4719,3743,2870,2817,2624,336,341,340,333,337
Australia,24,81,369,759,1478,19,24,30,31,27,28,26
Zambia,0,2059,1839,2089,1401,1405,1937,2087,2175,2038,2378,2435
Malawi,0,710,980,1310,1245,508,805,1220,1287,1394,1428,1325
Zimbabwe,0,1484,1048,1473,493,552,498,555,551,521,526,654
Netherlands,0,1280,1566,2033,2257,2254,2356,2363,2223,1939,1656,1415
United States,0,839,857,957,2094,544,525,494,474,441,464,462
Sweden,0,292,537,940,1201,1222,1253,1275,1292,1286,1203,1069
Kenya,0,404,782,1188,1195,1270,1313,1313,765,803,1018,1167
United Rep. of Tanzania,0,494209,443706,393611,352640,336277,240480,53823,47350,67549,35343,35183
Dem. Rep. of the Congo,0,19552,19400,19032,17777,17602,17588,17585,12845,8915,9368,9762
South Africa,0,1986,2075,2183,2196,2217,2155,2273,2412,2412,2359,2329
United Kingdom,0,1476,1638,1729,1753,1781,1785,1788,1791,1323,889,392
Uganda,0,317,663,1660,1741,2224,3183,3777,4950,6687,10728,10587
