Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Brazil,0,88,132,360,415,498,529,597,602,654,742,1147
Canada,0,6689,9441,13511,17378,11843,13080,14300,16054,17243,17563,17381
Panama,0,860,1022,1137,1248,1284,1303,1299,1432,1598,1723,1957
Costa Rica,0,8266,8750,9470,9699,9739,9939,10199,10214,10297,10305,10330
Ecuador,0,6248,8270,9851,11526,14251,18337,44380,52059,54243,54620,54015
Chile,0,99,189,416,725,948,1061,0,884,924,942,977
Venezuela (Bolivarian Republic of),0,21,199,358,660,843,1094,1244,1467,1941,3563,4259
United States,0,11590,14920,19967,24770,25261,26447,27003,25607,22004,17766,13913
Sweden,0,572,619,918,1379,285,244,237,186,105,60,55
United Kingdom,0,1317,1356,1397,1399,1368,1164,947,650,564,341,162
