Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,4706,5069,5124,5212,5997,5687,5284,4725,4381,4211,3874
Netherlands,0,1975,2097,2102,1751,1182,1152,1084,998,939,833,798
United Rep. of Tanzania,0,150160,153474,150112,127973,97099,79706,63275,60186,61913,63330,64569
Kenya,0,1153,2367,2306,2385,2674,2927,3608,4879,5155,6244,8076
France,0,6757,7665,8537,8924,9329,9952,10841,11369,11931,12585,13513
Rwanda,0,34725,45460,41403,46272,50731,52409,53647,55027,54955,57857,72988
Malawi,0,940,860,1099,814,706,1577,1950,2227,2558,2827,2485
United States,0,2922,3262,2373,5443,1887,1614,1384,1176,1079,891,834
South Africa,0,8890,9516,10609,10772,11127,10999,11708,12973,12973,13386,14374
Mozambique,0,101,275,1079,1380,1340,1677,1932,2262,2263,2527,2578
Uganda,0,11680,14982,20564,28766,41782,76498,73175,81804,81487,127021,155742
Belgium,0,1000,878,866,884,1093,784,748,689,711,677,916
Namibia,0,998,100,554,638,642,675,964,1035,1369,1436,1900
Switzerland,0,1076,1156,1313,1353,1377,1451,1449,1416,1395,1357,1287
Angola,11930,13015,13510,13464,12615,11380,11900,13364,13648,13648,20740,21104
Chad,0,1975,0,0,0,0,0,66015,207,216,262,313
Burundi,0,40568,48424,20359,12623,23914,20757,24614,28957,35213,41349,45124
Sudan,0,1632,1632,1634,2733,2733,5447,19709,20980,5,15,48
Central African Rep.,0,6498,3447,3267,3027,1893,1536,20899,15300,13427,10662,10992
Zambia,0,58405,66248,61243,60874,55446,47329,21965,12342,12509,14871,16684
Zimbabwe,0,6122,3614,6536,2203,2596,2250,2648,3070,3203,2978,4725
Germany,0,7096,6668,6280,3563,4202,4418,6093,5587,5146,5206,1672
South Sudan,0,0,0,0,0,0,0,0,0,22186,18296,13933
United Kingdom,0,5376,5973,6502,6882,6988,6673,5561,4698,4175,3311,2409
Congo,0,81004,58834,56380,46341,27605,13973,103213,124244,131648,89424,31936
