Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,557,852,1197,1619,717,792,918,1136,1350,1547,1676
Ethiopia,0,6754,8719,10700,13078,20753,21018,36164,44791,54896,63771,84377
Germany,0,2754,2974,2746,2276,2993,3480,4293,4519,4606,4836,3984
Netherlands,0,250,332,494,690,777,917,1132,1423,1880,2103,2807
Yemen,0,86,101,122,206,415,603,767,918,842,1055,1009
Kenya,0,379,461,612,663,675,779,1027,1225,1220,1436,1432
France,0,22,31,63,104,162,222,369,663,1093,1316,1508
Norway,0,242,305,459,680,994,1700,3060,4668,5846,7129,9344
United States,0,1246,1277,1734,3201,2157,2396,2677,2816,3315,3512,3619
Sweden,0,271,367,822,1051,1521,2165,3018,3921,5123,6414,8954
Uganda,0,10,12,4,6,139,796,3046,3490,3529,4630,1992
Switzerland,0,200,215,268,628,1037,2471,3944,6859,9592,10981,13106
Italy,0,177,785,2705,5021,7404,9033,10377,10856,11206,11345,12666
Sudan,0,108251,110927,116746,157220,160488,124785,113528,103798,100464,112283,109640
Malta,0,30,30,260,519,729,990,1189,1270,1530,1681,2212
Egypt,0,98,176,205,274,373,752,859,938,1036,1182,1523
United Kingdom,0,1748,2404,3617,4901,6427,7701,8829,9430,9851,9901,10010
