Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,2873,3549,3986,4753,1652,1732,1742,1761,1928,2059,2163
Yemen,0,1795,1990,1616,1896,1988,2140,3446,4181,4686,5221,5740
Kenya,0,11139,12595,14862,16428,18119,22649,17103,21253,21857,22221,23524
Somalia,0,329,321,444,620,851,1783,1760,1882,2046,2179,2305
Norway,0,867,934,999,1003,707,876,1065,1222,1355,1530,1774
United States,0,12835,12980,13844,24853,12530,12515,12238,11421,11132,10508,10472
Australia,1271,1627,1921,1931,1923,126,143,169,168,178,189,191
South Africa,0,21,23,78,125,216,210,1509,3398,3398,5538,7578
Uganda,0,70,116,99,128,249,581,891,982,1064,1529,880
Djibouti,0,1554,616,544,551,580,551,615,631,600,535,497
Italy,0,333,478,1065,1518,1955,2148,2207,2178,2212,2193,2291
Sudan,0,15251,14812,14633,11009,11416,8621,9170,9101,4421,4761,5108
Germany,0,7966,6669,5146,2739,3412,3584,4631,4628,4485,4538,2639
South Sudan,0,0,0,0,0,0,0,0,0,4967,5891,5890
Egypt,0,329,481,516,507,468,473,492,562,609,863,1029
United Kingdom,0,2228,2542,2723,2853,2803,2782,2624,2151,1896,1508,1122
