Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,5441,5402,4789,3990,1968,1865,1760,1730,1712,1745,1730
Germany,0,73489,68071,52922,36205,34731,38854,49033,50432,48976,49829,40230
Netherlands,0,28640,27622,26618,21782,19234,15553,16844,17779,18255,18012,15533
Syrian Arab Rep.,0,2435,14391,24874,700000,1500000,1100000,1050000,1000000,750000,471418,146200
Islamic Rep. of Iran,0,150196,93173,54000,54024,57414,44444,47924,45708,45937,44085,43268
Yemen,0,225,219,1046,1517,3747,4461,4428,4322,3940,3431,3416
Turkey,0,267,125,126,141,3662,7481,6194,5277,7071,9478,13467
Hungary,0,938,1294,1252,1235,1272,1243,1166,1091,998,563,223
France,0,1409,1408,1319,1318,1397,1656,2147,2366,2519,2620,2677
Norway,0,7820,8265,8459,8668,7744,7878,7253,6320,6257,5727,5679
Finland,0,1377,1569,1648,1679,992,1206,1627,2188,2508,2797,3448
Libya,0,43,43,43,34,1055,2217,2777,2885,2736,2532,2530
United States,0,10523,8583,5993,19755,4336,4788,5427,5429,5126,4759,4863
Bulgaria,0,1066,1152,1171,1199,1475,1705,1904,1990,2109,1359,1200
Sweden,0,23918,22028,21046,23852,30423,32120,31558,29013,27367,24741,24006
Austria,1151,1141,1429,1224,1179,1366,1972,2183,2320,2622,2863,2966
Australia,11899,12157,11471,10859,11147,5851,5945,5663,3791,3085,2821,2963
Belgium,0,209,167,231,253,292,494,718,962,1329,1541,3058
Switzerland,0,3307,3208,4065,5030,4850,3038,4612,4563,4355,4120,3883
Lebanon,0,1476,1148,797,20000,50000,50000,50000,7630,8491,6500,4944
Italy,0,1282,1334,1354,1371,1503,1614,1843,1952,1853,1863,2294
Jordan,0,965,889,754,500000,500000,500000,450000,450000,450000,63037,55509
Denmark,0,11831,11500,10667,9902,8376,7102,5467,3962,1910,1159,1034
Egypt,0,33,39,35,43,10273,10091,6572,6772,6037,5703,5506
United Kingdom,0,23421,22763,22363,21984,22021,21483,21287,18143,15652,5752,3193
Greece,0,951,959,907,824,828,942,713,622,656,838,1019
