Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,6794,6508,5695,4978,6221,5200,4499,3819,3440,3212,3033
Germany,0,47131,39904,24016,13213,15123,15816,20226,20444,20462,21629,17150
Netherlands,0,7944,6597,5573,4344,3396,2956,2662,2758,3152,3354,4148
Turkey,0,1274,1950,1959,2135,2148,2105,1803,1911,2993,3040,3321
France,0,1659,1682,1634,1617,1633,1661,1735,1917,2064,2172,2311
Norway,0,3356,3465,3451,3446,898,997,1124,1193,1260,1334,1478
Finland,0,1402,1569,1683,1806,238,260,278,323,359,431,509
United States,0,21185,20541,17429,33714,6845,6347,5731,5173,4657,4313,4492
Sweden,0,5181,5258,5016,5205,1934,1909,2148,2360,2681,2992,3763
Austria,1076,1112,1445,1589,1679,1929,2112,2183,2357,2509,2816,3188
Australia,2626,2593,2766,2560,2346,1105,1151,1249,1327,2286,3949,4596
Iraq,0,10237,9500,13382,11773,11135,10823,12401,7989,8229,8259,7992
Denmark,0,1691,1665,1755,1617,771,805,864,1030,1245,1411,1842
Switzerland,0,928,963,1034,1132,1150,2936,1255,1265,1295,1356,1355
Italy,0,585,523,524,553,580,617,694,787,840,923,1127
United Kingdom,0,6892,8044,9039,9566,10227,10320,10845,10837,11632,11428,11368
