Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,268,639,1151,1436,123,115,103,99,106,120,134
Ghana,0,42466,40853,38684,35653,26967,15797,11476,11585,11295,5156,5249
Netherlands,0,1086,951,1013,733,499,530,519,493,472,431,398
Côte d'Ivoire,0,74180,70402,39919,25615,24146,24256,24033,25563,23650,3424,2366
United States,0,15484,19555,21466,33992,6055,5475,4733,3905,2964,2149,1685
Australia,269,381,1037,1698,2307,10,10,14,18,18,16,23
Guinea,0,149639,127256,54810,21816,14489,11097,11120,9789,9972,3520,1761
Nigeria,0,3674,2932,6051,5778,5528,5303,5261,5316,5299,564,123
Sierra Leone,0,61192,65433,59952,27311,8738,7778,9037,8341,8046,4163,2776
Italy,0,38,692,819,899,1313,1329,1359,1356,1358,1365,1367
