Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,1994,2118,2073,1916,2960,2770,2612,2311,1931,1756,1527
France,0,2613,3991,5292,5945,6613,7615,8942,9858,10882,11767,12795
Netherlands,0,1379,1389,1466,1362,1265,1206,1168,1104,1007,880,765
Norway,0,1204,2249,2694,3034,3552,3790,3969,4104,4056,3875,3334
Germany,0,45568,45030,41732,25347,30424,35505,37642,39460,39816,40204,4358
Belgium,0,168,1081,3899,5425,5150,3981,3428,2964,2894,2661,2177
Kazakhstan,0,13684,13684,5000,3713,3692,3692,3692,0,0,0,0
Georgia,0,3848,2543,2483,1362,1036,981,857,623,446,293,271
Denmark,0,304,392,466,485,489,587,651,748,794,829,1023
Poland,0,674,1671,3785,6024,9355,12034,14510,14730,14897,14938,15149
United States,0,18964,15891,18812,86914,7915,7652,7434,7043,6863,6714,6461
Sweden,0,1017,1078,1178,1493,1488,1583,1705,1739,1786,1770,1941
Azerbaijan,0,65,8367,2828,2425,2110,1770,1334,1028,889,781,657
United Kingdom,0,1546,1791,1886,1970,1982,1987,1820,1603,1421,1105,817
Austria,0,911,4152,6438,8723,11571,14122,15828,17229,18473,19517,19577
