Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,1462,1310,1223,1226,1697,1680,1550,1494,1537,1654,1655
Cameroon,0,995,1050,1037,1303,1362,1369,1438,1535,864,830,823
Netherlands,0,1048,1105,1199,1172,1025,920,778,554,462,363,308
Kenya,0,2520,1541,2361,2335,2498,2524,2468,1665,1505,1343,931
France,0,1410,1589,1774,1908,2049,2184,2360,2496,2598,2723,2840
Malawi,0,1423,1753,1744,1832,1693,1774,2226,2163,2289,2226,1935
United States,0,1068,1018,912,2161,918,902,870,886,913,946,959
South Africa,0,1193,1266,1276,1278,1282,1266,1282,1374,1374,1364,1364
Uganda,0,19604,18902,20213,21866,17846,16162,15717,12590,12998,14684,13376
Belgium,0,1591,1795,1929,1833,1350,1108,1046,981,1026,966,798
Dem. Rep. of the Congo,0,19743,11816,42360,37313,29814,22643,80525,69836,61481,50736,43674
Zambia,0,5767,5791,5669,4067,4045,4898,5145,5736,5559,5963,1995
Zimbabwe,0,3591,857,4493,580,635,592,652,0,713,723,822
United Kingdom,0,1872,1968,1995,2008,1910,1752,1627,1353,858,431,216
Congo,0,5921,5852,6478,6564,7941,7897,7121,7775,8374,8404,8496
