Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,1374,1668,1557,1323,254,258,254,233,221,206,187
Liberia,0,13941,2735,3546,3566,3563,3579,500,170,183,279,375
Netherlands,0,3663,3737,3839,3830,3828,3783,3723,3516,2162,1000,863
United States,0,6570,6885,6745,10066,2258,2159,1984,1692,1305,1017,861
Mali,0,1411,1344,1344,1344,242,665,0,0,0,0,0
Guinea,0,25000,7165,5423,5259,6394,6460,168,177,171,171,193
Nigeria,0,1756,1633,1670,1667,1606,1634,456,58,57,50,24
Australia,680,777,1422,1833,2103,32,30,32,33,35,33,33
Gambia,0,6127,5955,5955,5955,6465,6454,1788,134,134,134,135
Germany,0,1836,1426,1166,356,414,466,686,737,748,749,323
United Kingdom,0,4014,4118,4161,4172,4220,4184,3519,2504,972,641,457
