Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,5080,4894,4491,4507,7206,6209,5150,4149,3629,3459,3225
Ethiopia,0,28276,16470,15901,16576,25843,33625,58980,81247,185466,223031,240825
Germany,0,3693,3423,2903,2165,2227,2190,2407,2620,3139,3634,3512
Netherlands,0,14046,11239,10715,8086,7919,8565,11068,13736,15715,16286,18799
Syrian Arab Rep.,0,453,467,593,1322,2080,3358,2260,2762,2538,2217,1007
Yemen,0,59246,63511,78582,91587,110616,132275,161468,179845,204685,226909,230506
United Rep. of Tanzania,0,3330,2867,2663,2086,2059,1525,1447,1488,1530,2105,2136
Kenya,0,154272,153627,150459,173702,192420,259121,310280,351773,517666,512069,475304
Turkey,0,29,70,66,139,668,862,922,932,1105,1669,2153
France,0,543,567,587,612,650,686,835,1027,1303,1489,1674
Norway,0,5633,6242,6437,6632,7269,6977,7064,7342,7981,8870,9275
Finland,0,946,949,1008,1042,1178,1219,1694,2226,2404,2571,2744
Libya,0,2906,2938,2938,488,513,573,643,342,313,165,167
United States,0,25421,31110,34207,72546,12224,10154,7112,4513,2996,2412,2310
South Africa,0,6890,7118,7548,7818,8554,8543,9718,15186,15186,17864,20814
Sweden,0,4258,2932,3486,4066,5332,6753,10636,15238,17602,19416,20613
Austria,0,81,93,146,266,456,630,830,1093,1473,1915,2278
Uganda,0,892,1089,1811,3752,4573,6085,8172,11151,14023,19000,13144
Australia,1743,1130,941,864,797,142,86,84,74,77,66,67
Switzerland,0,3812,3747,3706,3541,3206,3070,3197,4092,4148,4135,4101
Djibouti,0,25474,17331,9828,8642,5980,8522,11198,14216,19426,18289,19169
Italy,0,94,598,814,948,1701,5251,7747,7865,8497,9284,10846
Malta,0,176,254,468,607,979,2084,3534,3605,4009,5041,5543
Zambia,0,987,1675,1693,1694,1725,1868,1927,2008,1842,2177,2216
Denmark,0,8591,7788,6648,5100,3359,2483,1987,1497,904,528,798
Eritrea,0,3261,3523,3620,3792,4228,4675,4561,4556,4472,3440,3054
Egypt,0,3068,3809,3940,4317,5139,5600,6096,6172,6328,6250,6316
United Kingdom,0,36106,36700,36319,34138,33659,31665,32299,23893,19668,15132,11249
