Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,12563,12062,11076,9877,21279,20442,19143,16967,15174,13705,12326
Germany,0,15121,12850,15304,5832,6388,6594,12248,12057,11724,11672,4077
Netherlands,0,1806,1415,1100,896,743,644,605,649,706,644,727
India,0,60922,57274,50730,69609,72934,73286,72883,69998,68152,67165,65674
France,0,15062,15304,15602,15669,16605,18102,20464,21833,22719,23225,23762
Norway,0,1077,914,704,549,511,498,483,456,370,336,340
United States,0,1036,835,770,1827,1862,1615,1561,1483,1310,1252,1318
Australia,1236,935,694,571,600,1707,1843,2070,2373,2572,2866,3313
Malaysia,0,0,6,30,42,283,1232,2132,2277,2289,2018,1810
Switzerland,0,3679,2952,2617,2352,2176,2464,2836,3275,3125,3117,3065
Italy,0,463,466,499,533,786,861,974,1004,1006,605,631
United Kingdom,0,7993,8064,8098,8223,8554,8725,8615,6822,5737,4475,4398
