Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,5141,6312,6230,6258,1915,1739,1615,1431,1238,1100,905
Ethiopia,0,94899,90451,73927,66980,35493,25913,23516,25238,45286,27175,33582
Netherlands,0,3537,3618,3794,3810,3108,2324,2057,1704,1506,1233,1160
Kenya,0,63197,67556,76646,73004,45261,28496,20315,20528,17568,3157,3907
France,0,336,459,630,799,994,1151,1368,1597,1906,2180,2430
Norway,0,470,509,516,506,170,181,214,311,432,800,1133
United States,0,17309,17994,16363,28123,3725,3327,2915,2337,1857,1427,1364
Uganda,0,198281,214673,212857,215675,162063,56883,20836,19382,18268,7910,1068
Chad,0,110000,224924,228836,233025,242555,250052,248001,278257,298311,306960,352948
Australia,6033,10037,16365,18827,21241,59,53,56,57,49,49,56
Dem. Rep. of the Congo,0,45060,45226,11723,6181,2511,2511,2509,2505,2504,2505,2564
Italy,0,266,440,957,1277,1788,2041,2159,2145,2324,2548,2574
Central African Rep.,0,36479,19470,19960,7900,4170,4411,4488,4615,2120,2174,2172
Germany,0,1312,1115,851,392,433,458,546,531,509,575,296
South Sudan,0,0,0,0,0,0,0,0,0,76845,176834,208130
Egypt,0,14178,14904,13446,12157,10499,10146,9818,10035,10324,12124,12927
United Kingdom,0,1852,2426,2896,3108,3201,3205,3204,3128,3550,3748,3802
