Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Russian Federation,0,0,0,0,0,1,2,4,5,4,53,1163
Jordan,0,28,37,40,42,41,44,138,198,193,238798,585304
Netherlands,0,1479,1588,1674,1559,1421,1326,1254,1186,1064,1449,3404
Turkey,0,3,0,12,2,5,12,8,9,19,248466,585601
France,0,191,205,213,216,217,233,244,280,351,640,1474
Norway,0,93,132,144,146,149,154,152,186,171,565,1311
Libya,0,0,0,0,0,2,0,0,0,0,0,16796
United States,0,182,197,150,423,344,320,341,312,373,1425,3802
Sweden,0,1048,940,1032,1065,1081,1084,1118,1169,1206,6051,17984
Bulgaria,0,65,72,78,79,85,86,90,95,98,97,2104
Austria,0,61,75,122,167,255,333,385,505,903,1675,2748
Belgium,0,19,80,115,100,114,152,177,229,312,355,1987
Iraq,0,643,489,627,663,590,534,757,254,323,63586,212809
Denmark,0,172,177,188,213,218,272,392,750,1197,1812,3271
Switzerland,0,178,179,294,388,430,626,661,694,1074,1391,2012
Lebanon,0,0,0,0,6,29,59,60,40,93,126755,851284
Germany,0,15745,16184,10469,5845,6996,8205,10217,10518,10155,18165,21253
Egypt,0,6,1,2,4,4,9,9,8,9,12836,131659
United Kingdom,0,16,44,208,286,364,395,460,499,693,1713,3169
