Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,1005,1125,949,919,349,161,143,118,105,87,70
Italy,0,3003,3003,3103,3390,3390,3442,3496,3058,2958,2889,857
Sudan,0,0,1270,1270,0,0,1101,1075,124,118,116,116
Luxembourg,0,1201,1590,1822,2206,2737,3109,3230,3254,2855,2910,2017
France,0,30083,30090,19172,22610,21936,21985,45194,42230,42659,42289,47676
Ireland,0,1296,1145,484,442,502,435,435,40,40,0,0
Norway,0,7034,2721,1396,558,309,64,64,59,59,59,59
Australia,1145,159,448,442,393,1298,304,237,226,183,178,177
Zambia,0,585,9512,9556,9542,9553,71,71,71,0,0,0
Zimbabwe,0,0,0,1348,243,0,0,0,688,0,0,0
Germany,0,104531,110857,14088,72847,20690,13112,14447,14432,12934,13338,4523
Chile,0,3,0,0,0,0,0,1539,449,449,443,443
Belgium,0,2959,2783,1270,1710,3405,4274,2681,4478,7060,6305,2435
Netherlands,0,2870,1421,2175,2528,2728,2826,3081,3298,3665,3665,3558
Denmark,0,3921,3431,2503,1026,471,40,34,64,403,397,395
Finland,0,2641,1942,1396,581,64,73,65,80,87,95,114
United States,0,45077,53086,474,2132,2892,2882,1900,690,1077,1681,2173
Sweden,0,5406,5343,5332,3973,2812,2786,718,666,709,750,848
Switzerland,0,1130,185,24,172,131,239,360,430,470,474,625
United Rep. of Tanzania,0,2047,1853,2427,2596,195,0,186,262,251,243,211
Chad,0,0,5273,5330,5318,5286,377,377,0,0,0,0
South Africa,0,24,30,61,4764,4764,11813,11826,11827,11827,13503,13503
United Kingdom,0,97714,101496,110206,106780,102336,96495,81322,71878,47254,34252,25617
Austria,0,3885,139,258,263,290,305,310,313,315,322,321
