Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Lithuania,0,1282,1204,1129,564,159,186,208,236,246,244,7
Ethiopia,0,7966,6669,5146,2739,3412,3584,4631,4628,4485,4538,2639
Cameroon,0,1742,2138,1841,761,813,912,1180,1236,1210,1244,528
Ghana,0,1435,1491,7136,1491,1309,1339,4270,4294,4280,4323,236
Slovenia,0,123,94,125,1734,25,23,15,14,10,12,11
Bosnia and Herzegovina,0,38688,30083,9223,28098,26261,24697,24947,24622,24016,23460,1344
Russian Federation,0,45568,45030,41732,25347,30424,35505,37642,39460,39816,40204,4358
Pakistan,0,9161,8656,10815,3580,4298,4607,7383,7078,6629,6943,3387
Syrian Arab Rep.,0,15745,16184,10469,5845,6996,8205,10217,10518,10155,18165,21253
Islamic Rep. of Iran,0,47131,39904,24016,13213,15123,15816,20226,20444,20462,21629,17150
Albania,0,1929,1604,3036,963,1011,1076,2310,2275,2207,2201,296
India,0,3158,3182,5947,2041,1849,1827,2879,2774,2769,2796,401
Azerbaijan,0,8330,9150,6668,3628,4507,5315,6063,6326,6368,6575,2082
Rep. of Moldova,0,5641,5509,5466,2170,3275,3823,4041,4229,4139,3988,31
Turkey,0,140702,128419,122891,175579,169616,161919,101068,97908,92968,90773,24449
Afghanistan,0,46975,38576,31055,21879,24236,25108,30320,30404,30425,31746,24203
Bangladesh,0,577,540,1438,385,456,475,942,935,896,913,118
Viet Nam,0,25357,21006,30786,11678,13222,14043,25215,24918,24261,23799,1495
Somalia,0,3693,3423,2903,2165,2227,2190,2407,2620,3139,3634,3512
Montenegro,0,0,0,0,131,523,1203,2425,3061,3487,3762,218
Togo,0,5778,5579,5988,3008,3246,3340,4592,4382,4007,3905,1404
China,0,6940,6914,3892,3577,3483,3613,3654,3752,3639,3815,1490
Armenia,0,4893,4856,3943,1874,2178,2527,3691,3918,3963,4419,1022
Ukraine,0,57309,57693,56276,16446,19573,22156,18412,19398,19922,20059,261
Libya,0,535,651,353,339,470,558,571,636,686,2280,141
Belarus,0,2973,3281,3218,1525,1669,1842,1694,1842,1904,1989,155
Bulgaria,0,993,792,2651,1169,281,206,191,192,167,181,94
Romania,0,4053,3139,8496,3898,1262,812,674,554,517,492,182
Czech Rep.,0,5640,3743,3016,1605,164,159,160,169,167,165,510
The former Yugoslav Rep. of Macedonia,0,3198,2971,6539,6014,5926,5729,6081,6035,5982,6175,341
Hungary,0,2349,1640,2398,2161,1975,128,133,130,127,121,308
Nigeria,0,1509,1607,5984,1096,1143,1237,2640,2601,2667,2833,720
Algeria,0,3727,3339,5385,1249,1299,1336,2317,2283,2165,2198,307
Thailand,0,220,194,67,2868,2051,1559,235,210,212,210,58
Iraq,0,73489,68071,52922,36205,34731,38854,49033,50432,48976,49829,40230
Sierra Leone,0,1836,1426,1166,356,414,466,686,737,748,749,323
Stateless,0,6461,5848,4090,3430,3717,4202,5097,5103,5010,5359,920
Georgia,0,2701,2639,2664,1173,1385,1509,1943,2034,2105,2202,333
Gambia,0,180,120,1041,137,115,114,469,469,473,502,126
Morocco,0,927,925,2491,4187,3405,2866,1530,1500,1433,1454,144
Serbia (and Kosovo: S/RES/1244 (1999)),0,168980,142681,99789,75211,91616,98787,123700,122340,110455,113809,8410
Croatia,0,3812,2900,2784,1574,17747,16241,4100,4209,4280,4614,359
Angola,0,3288,3272,3753,2006,2408,2463,3433,3321,3118,3041,850
Dem. Rep. of the Congo,0,7096,6668,6280,3563,4202,4418,6093,5587,5146,5206,1672
Lebanon,0,18410,17302,15619,9336,9485,9650,12950,12514,11697,11819,449
Uzbekistan,0,3229,192,3353,1294,1654,1918,1933,2082,2191,2200,88
Tunisia,0,1033,982,1537,1207,874,770,772,789,752,747,94
Spain,0,40,38,39,2431,18,6,3,8,8,10,12
Various,0,104531,110857,14088,72847,20690,13112,14447,14432,12934,13338,4523
Sudan,0,1312,1115,851,392,433,458,546,531,509,575,296
Jordan,0,575,572,1032,596,549,538,788,828,795,847,99
Kazakhstan,0,3706,3524,1812,3800,2980,2755,1665,1675,1626,1627,84
Poland,0,13769,9292,18265,12182,1438,993,743,753,746,737,742
Eritrea,0,2754,2974,2746,2276,2993,3480,4293,4519,4606,4836,3984
Kyrgyzstan,0,2242,2275,1961,868,1213,1370,1358,1412,1535,1509,60
Sri Lanka,0,15121,12850,15304,5832,6388,6594,12248,12057,11724,11672,4077
Latvia,0,2451,2202,1869,537,314,431,468,457,435,414,12
Egypt,0,1314,844,1277,618,616,607,832,875,877,860,266
Rep. of Korea,0,144,137,66,1109,857,771,226,218,139,187,122
