Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bosnia and Herzegovina,0,19943,13518,6435,2747,1140,964,828,571,364,247,192
Russian Federation,0,1379,1389,1466,1362,1265,1206,1168,1104,1007,880,765
Liberia,0,1086,951,1013,733,499,530,519,493,472,431,398
Syrian Arab Rep.,0,1479,1588,1674,1559,1421,1326,1254,1186,1064,1449,3404
Islamic Rep. of Iran,0,7944,6597,5573,4344,3396,2956,2662,2758,3152,3354,4148
Azerbaijan,0,1491,1631,2142,2375,2299,2152,1986,1887,1813,1436,1260
Turkey,0,1346,1332,1306,1054,940,804,727,684,577,499,468
Afghanistan,0,26433,25907,25086,21357,17296,13477,9383,6731,5697,6126,6269
Rwanda,0,1048,1105,1199,1172,1025,920,778,554,462,363,308
Somalia,0,14046,11239,10715,8086,7919,8565,11068,13736,15715,16286,18799
China,0,2434,2288,2145,1991,1610,1346,1192,938,1072,1117,1217
Armenia,0,1287,1308,1512,1354,1180,1076,1041,1082,1057,926,845
Angola,0,3570,3296,3121,2969,2791,2663,2492,1930,1641,722,485
Guinea,0,893,931,975,1023,1001,1038,1067,1009,970,825,806
Iraq,0,28640,27622,26618,21782,19234,15553,16844,17779,18255,18012,15533
Sierra Leone,0,3663,3737,3839,3830,3828,3783,3723,3516,2162,1000,863
Serbia (and Kosovo: S/RES/1244 (1999)),0,4513,3748,3236,2634,2149,1991,1723,1269,794,565,405
Dem. Rep. of the Congo,0,1975,2097,2102,1751,1182,1152,1084,998,939,833,798
Burundi,0,1280,1566,2033,2257,2254,2356,2363,2223,1939,1656,1415
Various,0,2870,1421,2175,2528,2728,2826,3081,3298,3665,3665,3558
Sudan,0,3537,3618,3794,3810,3108,2324,2057,1704,1506,1233,1160
Eritrea,0,250,332,494,690,777,917,1132,1423,1880,2103,2807
Sri Lanka,0,1806,1415,1100,896,743,644,605,649,706,644,727
