Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ethiopia,0,867,934,999,1003,707,876,1065,1222,1355,1530,1774
Bosnia and Herzegovina,0,4991,3875,1898,1083,553,317,213,161,115,53,44
Russian Federation,0,1204,2249,2694,3034,3552,3790,3969,4104,4056,3875,3334
Syrian Arab Rep.,0,93,132,144,146,149,154,152,186,171,565,1311
Islamic Rep. of Iran,0,3356,3465,3451,3446,898,997,1124,1193,1260,1334,1478
Afghanistan,0,3309,3693,4052,4084,2925,3418,4415,5396,5733,5984,5523
Somalia,0,5633,6242,6437,6632,7269,6977,7064,7342,7981,8870,9275
Stateless,0,381,481,569,655,942,1345,1765,1962,2059,2116,2356
Iraq,0,7820,8265,8459,8668,7744,7878,7253,6320,6257,5727,5679
Serbia (and Kosovo: S/RES/1244 (1999)),0,3884,3527,3438,3431,3474,3473,3203,3116,1447,946,848
Various,0,7034,2721,1396,558,309,64,64,59,59,59,59
Sudan,0,470,509,516,506,170,181,214,311,432,800,1133
Eritrea,0,242,305,459,680,994,1700,3060,4668,5846,7129,9344
Myanmar,0,199,459,743,1223,52,55,72,132,161,160,154
Sri Lanka,0,1077,914,704,549,511,498,483,456,370,336,340
Croatia,0,1394,1383,1362,1336,1065,904,186,55,33,11,9
