Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bosnia and Herzegovina,0,25836,7177,5736,5703,4086,3221,3099,2341,1876,1239,590
Russian Federation,0,1017,1078,1178,1493,1488,1583,1705,1739,1786,1770,1941
Syrian Arab Rep.,0,1048,940,1032,1065,1081,1084,1118,1169,1206,6051,17984
Islamic Rep. of Iran,0,5181,5258,5016,5205,1934,1909,2148,2360,2681,2992,3763
Afghanistan,0,3425,3903,4264,4278,2611,2946,3637,4150,6620,8454,10499
Somalia,0,4258,2932,3486,4066,5332,6753,10636,15238,17602,19416,20613
Iraq,0,23918,22028,21046,23852,30423,32120,31558,29013,27367,24741,24006
Stateless,0,1481,1811,2028,2218,2768,3158,3573,3858,4304,4948,8570
Serbia (and Kosovo: S/RES/1244 (1999)),0,27897,11844,11953,12000,9589,8692,8852,6848,5529,4315,3608
Uzbekistan,0,156,227,788,1275,1282,1328,1379,1413,1468,1487,1504
Colombia,0,572,619,918,1379,285,244,237,186,105,60,55
Burundi,0,292,537,940,1201,1222,1253,1275,1292,1286,1203,1069
Various,0,5406,5343,5332,3973,2812,2786,718,666,709,750,848
Eritrea,0,271,367,822,1051,1521,2165,3018,3921,5123,6414,8954
Croatia,0,2831,2050,2011,1996,987,113,113,84,65,46,25
