Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bosnia and Herzegovina,0,6945,6553,6165,5548,4900,4314,3792,3370,3043,2795,2603
Syrian Arab Rep.,0,178,179,294,388,430,626,661,694,1074,1391,2012
Islamic Rep. of Iran,0,928,963,1034,1132,1150,2936,1255,1265,1295,1356,1355
Turkey,0,5779,5613,5501,5516,5345,5245,4900,4557,4224,3926,3638
Afghanistan,0,1598,1524,1595,1726,1609,1610,1683,1929,2127,2099,2578
Viet Nam,0,2363,2214,2072,1944,1839,1706,1587,1484,1397,1340,1255
Somalia,0,3812,3747,3706,3541,3206,3070,3197,4092,4148,4135,4101
China,0,567,623,667,983,1109,1179,1239,1400,1707,1662,1684
Iraq,0,3307,3208,4065,5030,4850,3038,4612,4563,4355,4120,3883
Serbia (and Kosovo: S/RES/1244 (1999)),0,11249,10956,10586,9827,8315,7397,6491,5288,4457,4083,3542
Angola,0,2102,2129,2221,2160,1967,1843,1644,1440,1268,1176,1055
Dem. Rep. of the Congo,0,1076,1156,1313,1353,1377,1451,1449,1416,1395,1357,1287
Various,0,1130,185,24,172,131,239,360,430,470,474,625
Eritrea,0,200,215,268,628,1037,2471,3944,6859,9592,10981,13106
Sri Lanka,0,3679,2952,2617,2352,2176,2464,2836,3275,3125,3117,3065
