Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ethiopia,0,12835,12980,13844,24853,12530,12515,12238,11421,11132,10508,10472
Cameroon,0,2962,3414,4684,6713,7068,7279,7420,7300,7282,6676,5714
Guatemala,0,1921,1543,1748,4840,5112,4877,4703,4621,4940,5174,5292
Bosnia and Herzegovina,0,61834,39393,20446,114615,312,288,304,273,244,200,182
Russian Federation,0,18964,15891,18812,86914,7915,7652,7434,7043,6863,6714,6461
Liberia,0,15484,19555,21466,33992,6055,5475,4733,3905,2964,2149,1685
Pakistan,0,2212,1975,2144,4211,4126,3936,3690,3420,3342,3105,2997
Syrian Arab Rep.,0,182,197,150,423,344,320,341,312,373,1425,3802
Islamic Rep. of Iran,0,21185,20541,17429,33714,6845,6347,5731,5173,4657,4313,4492
Albania,0,3952,4004,4399,7792,7749,7232,6721,6005,5202,4422,3541
Côte d'Ivoire,0,272,412,696,1064,1187,1294,1433,1512,1712,1842,1788
India,0,5659,5224,5442,10584,9958,9483,8955,7842,6657,5041,4500
Azerbaijan,0,2312,2559,2703,3674,1508,1501,1500,1236,865,582,464
Rep. of Moldova,0,4799,5514,5534,8338,210,266,405,519,696,906,1028
Kenya,0,808,856,1130,1667,1856,2081,2297,2466,2551,2512,2365
Afghanistan,0,9601,9778,8831,13242,2365,2102,1711,1364,1103,1017,1071
Bangladesh,0,975,888,884,1930,1929,1809,1627,1388,1281,1117,1069
Mauritania,0,1415,1300,1483,3131,2871,2429,2167,2009,1887,1731,1544
Rwanda,0,1068,1018,912,2161,918,902,870,886,913,946,959
Somalia,0,25421,31110,34207,72546,12224,10154,7112,4513,2996,2412,2310
Peru,0,1463,990,870,2594,2536,2311,1752,1350,1204,1091,932
Cuba,0,11279,11821,14990,29400,1823,1481,1097,859,731,677,600
Togo,0,1790,1994,2173,3404,2437,2433,2419,2377,2288,2048,1648
China,0,21300,18957,26131,41007,45194,47277,51480,54599,58352,60615,65558
Armenia,0,4537,4600,5150,8039,7831,7731,7569,6637,5234,4076,3273
Ukraine,0,33724,28484,24256,43607,1912,1729,1570,1475,1463,1411,1379
Indonesia,0,4285,3107,3126,6650,7301,7845,6558,5605,5056,4481,4027
Belarus,0,3965,3818,4240,6258,1388,1510,1691,1734,1882,2054,2039
Mali,0,55,65,113,228,330,393,513,664,812,949,1071
Bulgaria,0,507,440,510,1133,1153,1093,1021,961,877,796,714
Romania,0,579,645,734,1091,1061,1012,1017,943,815,635,461
Uganda,0,749,745,866,1430,1466,1442,1443,1378,1349,1231,1185
Guinea,0,958,1253,1771,2642,3040,3290,3558,3739,3756,3643,3466
Nigeria,0,1446,668,610,2541,1274,1011,809,719,686,719,733
Viet Nam,0,21250,12382,10238,45757,251,231,259,255,270,265,263
Algeria,0,557,319,244,1031,856,619,387,283,236,216,189
El Salvador,0,1111,801,919,3098,3432,3288,3227,3170,4706,6037,7208
Haiti,0,5389,6760,10560,17171,17728,18175,18733,18487,24013,26849,25891
Iraq,0,10523,8583,5993,19755,4336,4788,5427,5429,5126,4759,4863
Sierra Leone,0,6570,6885,6745,10066,2258,2159,1984,1692,1305,1017,861
Stateless,0,373,479,662,1139,1197,1233,1302,1341,1216,1052,943
Georgia,0,770,791,817,1289,1093,1111,1091,928,802,693,608
Gambia,0,242,236,289,721,642,644,714,775,887,1049,1133
Serbia (and Kosovo: S/RES/1244 (1999)),0,16846,1664,3880,19116,3537,3031,1928,2023,1885,1791,1695
Croatia,0,6296,4732,1753,6520,171,131,129,79,67,60,64
Venezuela (Bolivarian Republic of),0,318,984,2201,3186,3989,4718,5171,5675,6441,6995,7156
Dem. Rep. of the Congo,0,2922,3262,2373,5443,1887,1614,1384,1176,1079,891,834
Mexico,0,439,425,502,962,1083,1227,1384,1477,1829,2352,2795
Uzbekistan,0,3260,3017,2810,5202,1423,1568,1697,1712,1738,1687,1596
Colombia,0,11590,14920,19967,24770,25261,26447,27003,25607,22004,17766,13913
Burundi,0,839,857,957,2094,544,525,494,474,441,464,462
Various,0,45077,53086,474,2132,2892,2882,1900,690,1077,1681,2173
Fiji,0,762,835,906,1207,1248,1281,1279,1157,821,617,489
Sudan,0,17309,17994,16363,28123,3725,3327,2915,2337,1857,1427,1364
Nepal,0,429,571,957,1518,1953,2464,3125,3764,4574,5121,5771
Lao People's Dem. Rep.,0,229,6214,14713,16684,295,268,267,284,268,252,225
Zimbabwe,0,270,481,891,1025,1207,1438,1666,1783,1876,1866,1711
Kazakhstan,0,1544,1461,1248,2241,486,501,514,470,503,536,558
Eritrea,0,1246,1277,1734,3201,2157,2396,2677,2816,3315,3512,3619
Sri Lanka,0,1036,835,770,1827,1862,1615,1561,1483,1310,1252,1318
Honduras,0,225,183,256,639,613,550,543,636,1174,1674,2122
Myanmar,0,4789,5342,6793,11639,5334,5171,5021,4751,3164,2739,2471
Egypt,0,2465,2270,2375,4546,4788,4775,4658,4408,4972,6297,8497
Congo,0,1622,1499,1608,2763,2617,2581,2328,2071,1853,1608,1491
