Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ethiopia,0,2228,2542,2723,2853,2803,2782,2624,2151,1896,1508,1122
Ghana,0,1897,1873,1877,1870,1860,1802,403,244,183,201,191
Russian Federation,0,1546,1791,1886,1970,1982,1987,1820,1603,1421,1105,817
Pakistan,0,3074,3609,3983,4301,4592,4774,4805,4103,4408,4749,5297
Syrian Arab Rep.,0,16,44,208,286,364,395,460,499,693,1713,3169
Islamic Rep. of Iran,0,6892,8044,9039,9566,10227,10320,10845,10837,11632,11428,11368
Albania,0,1130,1275,1327,1378,1445,1484,1492,1479,1388,1136,1171
Kenya,0,1486,1543,1563,1563,1581,1586,1387,644,599,469,336
Turkey,0,7717,8602,9055,9200,9260,9219,7666,6172,5776,4171,2348
Afghanistan,0,21718,22494,22532,23069,23565,23079,23658,23406,14424,9842,9166
Bangladesh,0,1257,1532,1688,1786,1921,2018,1856,1567,1581,1426,1110
Viet Nam,0,264,690,844,871,889,902,934,987,1066,908,710
Rwanda,0,1872,1968,1995,2008,1910,1752,1627,1353,858,431,216
Somalia,0,36106,36700,36319,34138,33659,31665,32299,23893,19668,15132,11249
China,0,1650,1849,1993,2162,2367,2482,2416,2242,2373,2155,1966
Uganda,0,1624,1818,1863,1870,1816,1760,1601,1417,1417,1270,980
Nigeria,0,1932,2012,2111,2165,2156,2049,1370,1044,1089,1163,1244
Algeria,0,2372,2470,2516,2519,2443,2136,1450,946,859,635,447
Iraq,0,23421,22763,22363,21984,22021,21483,21287,18143,15652,5752,3193
Sierra Leone,0,4014,4118,4161,4172,4220,4184,3519,2504,972,641,457
Serbia (and Kosovo: S/RES/1244 (1999)),0,21301,20527,19717,18331,16237,15242,8009,6759,4364,2328,963
Dem. Rep. of the Congo,0,5376,5973,6502,6882,6988,6673,5561,4698,4175,3311,2409
Colombia,0,1317,1356,1397,1399,1368,1164,947,650,564,341,162
Burundi,0,1476,1638,1729,1753,1781,1785,1788,1791,1323,889,392
Various,0,97714,101496,110206,106780,102336,96495,81322,71878,47254,34252,25617
Sudan,0,1852,2426,2896,3108,3201,3205,3204,3128,3550,3748,3802
Angola,0,3247,3349,3445,3452,3418,3378,3073,2590,2021,1156,601
Zimbabwe,0,5754,6505,7093,8062,8707,9637,14119,14819,15118,12155,10302
Eritrea,0,1748,2404,3617,4901,6427,7701,8829,9430,9851,9901,10010
Sri Lanka,0,7993,8064,8098,8223,8554,8725,8615,6822,5737,4475,4398
